name,ra,dec,theta_arcmin,snr,redshift,mass_m500_1e14,distance_mpc,radius_mpc,radius_m,mass_kg,curvature_4d,curvature_ratio,phi5_amplitude,grav_modification
PSZ2 G160.83-70.63,24.8538861,-11.3814743,2.261781,6.30433,,,1000.0,0.6579254234841645,2.0303578568721315e+22,1.0711155375248445e+45,9.502579097467144e-50,10.67705516569342,0.29999999968071467,9.999999989357156e-07
PSZ2 G160.94+44.85,143.3680894,54.9523149,4.879645,4.98439,,,1000.0,1.419431192974645,4.380364661519754e+22,7.530016640487081e+44,6.652548988230128e-51,0.7474774144078795,0.19009248051491828,6.336416017163942e-07
PSZ2 G161.39+26.27,110.4010747,55.7629569,3.811007,9.74722,2.134152,0.147713,9146.365714285714,10.13945065934685,3.129034473474438e+23,2.93801157e+43,7.121072432664767e-55,8.00120498052221e-05,2.4003614890343494e-05,8.001204963447831e-11
PSZ2 G161.73-28.58,49.5733828,23.0123233,2.428397,4.80883,,,1000.0,0.7063920532592123,2.1799258763579292e+22,7.1357076448904924e+44,5.114872516837128e-50,5.74704777172711,0.2999938860123671,9.999796200412235e-07
PSZ2 G161.94-48.17,37.8754558,6.9716213,2.428911,7.98023,6.535912,0.514857,28011.051428571427,19.79097224804843,6.107494035747746e+23,1.024050573e+44,3.3377606906451e-55,3.750292910837191e-05,1.12508787272369e-05,3.750292909078967e-11
PSZ2 G162.33+25.03,108.5623312,54.6900499,2.428912,5.37799,2.852628,0.362213,12225.548571428571,8.637861835572465,2.665644162457663e+23,7.20441657e+43,2.8243286863776254e-54,0.0003173403018401826,9.520208735628361e-05,3.17340291187612e-10
PSZ2 G162.49-71.98,24.5099651,-12.797438,2.428718,6.27127,4.643719,0.474605,19901.652857142857,14.060227744133073,4.3389862818394667e+23,9.43989345e+43,8.580749159585154e-55,9.641291190545117e-05,2.8923873482015217e-05,9.64129116067174e-11
PSZ2 G163.04-27.80,51.0846176,22.9189349,9.258666,4.74695,,,1000.0,2.6932367673742217,8.31132866411685e+22,6.998418313309843e+44,9.05131071703408e-52,0.10170012041611325,0.030405281924059606,1.0135093974686535e-07
PSZ2 G163.22-26.48,52.1190377,23.8375434,3.839714,6.34635,,,1000.0,1.1169275272486925,3.446838349089465e+22,1.081842257829847e+45,1.9616618138276682e-50,2.2041143975591777,0.2927818573195673,9.759395243985577e-07
PSZ2 G163.61+34.30,124.7098793,54.5333069,4.153203,4.6709,5.759564,0.732794,24683.845714285715,29.82099290829991,9.202758411501353e+23,1.457527266e+44,1.3886268859141903e-55,1.5602549279934722e-05,4.680764783600588e-06,1.5602549278668626e-11
PSZ2 G163.69+53.52,155.5974894,50.1197468,1.957376,9.65552,4.733641,0.292316,20287.032857142858,11.55098204534595,3.5646330591937605e+23,5.81416524e+43,9.531600340115634e-55,0.00010709663303500711,3.212898978766563e-05,1.070966326255521e-10
PSZ2 G163.87+48.54,148.2005391,51.8882756,3.108357,4.95217,3.621027,0.422104,15518.687142857145,14.03175481721009,4.330199536591034e+23,8.395648559999999e+43,7.678094774084318e-55,8.62707277987002e-05,2.5881218275401875e-05,8.627072758467291e-11
PSZ2 G163.89+11.55,88.9452086,48.5704927,2.428907,4.78201,,,1000.0,0.7065404062456319,2.18038369367402e+22,7.076094624301828e+44,5.068947589301074e-50,5.695446729551768,0.29999322133501793,9.999774044500597e-07
PSZ2 G164.18-38.88,44.7278192,13.5662275,1.743953,19.65653,6.745817,0.220716,28910.644285714283,14.666235821230131,4.526000374431619e+23,4.39004124e+43,3.515991274820551e-55,3.950551994180394e-05,1.185165597637561e-05,3.950551992125204e-11
PSZ2 G164.29+08.94,85.8488076,46.953385,2.42853,6.22331,6.186835,0.611628,26515.007142857143,18.7310161539153,5.780391585098261e+23,1.2165280919999998e+44,4.677063937977661e-55,5.255128020199619e-05,1.57653840460861e-05,5.255128015362033e-11
PSZ2 G164.31-39.46,44.4519682,13.0469689,2.357804,12.96421,5.239323,0.291757,22454.241428571426,15.400407239758103,4.752565674189351e+23,5.803046729999999e+43,4.014159567774607e-55,4.510291649184951e-05,1.3530874938379689e-05,4.510291646126563e-11
PSZ2 G164.65+46.37,144.5898109,52.0335515,2.428912,6.72144,6.009507,0.539364,25755.030000000002,18.19700681824114,5.615596304109216e+23,1.0727949959999998e+44,4.498337596803985e-55,5.0543119065213317e-05,1.5162935706652214e-05,5.054311902217405e-11
